,embed_hidden_dim,embed_dim1,embed_dim2,relu_hidden_dim,tr_mae,val_mae
0,128,256,512,256,10.20588678869215,11.305662001548251
1,128,256,512,512,8.951762155013865,9.85606987149945
2,64,128,256,256,10.397768135336129,11.242476470445014
3,32,256,128,256,10.140042541382629,10.636345784211462
4,128,64,512,512,8.95266467332005,9.87516982163301
5,64,128,128,256,9.60714173726448,9.884652291116435
6,32,128,256,256,11.21105612956808,12.510862456904928
7,128,128,256,512,8.74182425382304,9.138580673734083
8,64,256,128,256,10.862402675937123,11.529890832442838
9,64,256,128,512,9.975022877845321,10.200385725396966
10,32,256,512,512,8.990377497265365,10.11873221679523
11,32,128,512,256,10.120256679973215,11.258369489450324
12,128,64,128,512,9.996007063508483,10.628586443328766
13,128,64,256,1024,8.89822694829629,8.976120998191726
14,64,64,512,1024,8.536335833518917,8.992524305197767
15,128,256,256,512,9.268884124673122,9.465281036625777
16,128,128,128,512,9.475587398181204,9.925102458205481
17,64,128,256,1024,8.715525481285733,8.989409133599347
18,64,64,512,256,10.138873244379013,11.426837493958867
19,32,64,512,256,9.847713999409487,10.739708292441147
20,32,128,128,1024,8.419083243951395,8.849790478140251
21,64,256,512,512,8.798710284802215,9.414027827409527
22,64,128,256,512,10.472416988555787,11.070504579101682
23,64,128,512,512,8.924943166916854,9.61499476024677
24,128,256,128,256,10.363999211690286,10.565113806300285
25,32,64,128,1024,8.66483093535714,8.974578820511335
26,32,256,512,1024,8.773938208498505,9.401541699446184
27,32,64,128,512,9.481366566821018,9.988956401849741
28,32,128,256,1024,8.429325550872607,8.825348521371088
29,64,64,128,512,9.956397712314956,10.273360870705906
30,32,128,128,256,9.30418699983432,9.40893849521102
31,32,64,256,256,9.70458627340253,10.516064814784032
32,32,64,128,256,10.894065879328606,11.13936240034709
33,64,128,512,1024,8.448119090177777,9.157471688430658
34,64,64,256,256,10.486882288770072,11.123427272507255
35,64,256,256,512,11.05703507851909,11.368804489266331
36,64,64,256,512,9.817825011078472,10.112061074552509
37,64,64,128,256,11.876971564169624,12.205838465764
38,64,256,128,1024,8.67468149409792,8.655502502163394
39,32,256,256,512,8.874051302522348,9.492448462786102
40,128,128,512,1024,8.470989374249443,8.83970389434909
41,128,128,128,256,9.62390365752956,10.173878979141158
42,32,64,512,512,8.993354477426237,9.750119619221447
43,32,128,256,512,9.712328247642306,9.930198656347104
44,128,128,512,512,9.403612823232198,10.016976787506257
45,128,64,512,1024,8.585733808353039,9.140238560239636
46,32,64,256,512,9.175416960801416,9.410834280178378
47,32,256,128,512,9.00996150913474,9.815122307416013
48,64,128,512,256,12.176439868186678,13.409220748296498
49,64,256,256,256,9.535529479229949,10.21987642392169
50,128,64,256,256,13.52314688495429,14.376868133265639
51,32,256,256,256,10.260122996841215,10.61323700135154
52,64,128,128,512,9.530838993461371,10.054052385241881
53,32,128,512,1024,8.57786393156971,8.852161933074951
54,128,256,128,1024,8.371982699010633,8.73985673817056
55,32,128,128,512,9.742446011816442,10.099363765384568
56,128,256,512,1024,8.786709532129635,9.345133957573832
57,32,64,512,1024,8.627823253516528,9.143297916775126
58,32,256,128,1024,8.20388362328525,8.562555634063443
59,128,128,512,256,10.123238252649918,11.335275434073035
60,32,256,256,1024,8.728795353477715,9.296160341870966
61,128,256,128,512,9.024577789303155,9.359863547454399
62,128,256,256,256,10.460955407358254,11.606192724887181
63,64,128,128,1024,8.80904137105698,8.842961828283787
64,64,64,256,1024,8.827938589344354,8.999059445248282
65,128,64,256,512,8.947289125488853,9.613058389134402
66,64,256,256,1024,8.894234997061968,9.372495890351368
67,128,256,256,1024,8.998323073389463,9.097892134481361
68,32,128,512,512,9.083722803022289,9.748605995015351
69,128,128,128,1024,8.734116675272933,8.724277218780095
70,64,256,512,256,10.54769416775144,11.265847049526045
71,32,256,512,256,10.02047082810646,11.058252701632307
72,64,64,512,512,8.905419278418991,9.57755969753533
73,128,128,256,256,11.202878998960538,11.651285447616916
74,64,64,128,1024,8.912156596742086,9.134214284726037
75,128,128,256,1024,10.486700129044593,10.391190561634806
76,64,256,512,1024,8.441085552007303,8.903003305628534
77,128,64,512,256,10.318144381556376,11.17682939424182
78,32,64,256,1024,8.930865382511334,9.239607108674294
79,128,64,128,256,10.60406898391018,11.07951609921263
80,128,64,128,1024,8.985793082167168,9.169478129169216
